Area,Bedrooms,Bathrooms,Floors,YearBuilt,Garage,LocationScore,Price
1660,1,2,2,2010,1,3,369758.175804793
4572,5,3,2,1951,1,7,1011357.77229937
3892,4,1,1,1982,0,4,842272.325222774
1266,1,2,2,2021,0,10,288673.317498499
4244,4,3,2,2011,0,7,852445.37356071
3971,1,2,1,2008,0,9,871019.225041177
3719,5,1,1,1989,1,5,873667.223679064
930,2,1,1,1998,1,1,213690.003509857
2485,3,1,1,1981,1,5,535333.665777031
1569,2,1,2,1987,0,6,353372.486940244
3191,5,1,2,1962,1,2,709512.402906781
3233,1,2,2,2003,0,8,715487.964429074
1984,2,1,2,1962,1,2,444165.986041126
4185,5,1,2,1988,0,9,899184.429240721
4917,4,3,2,1972,1,2,1026439.76373605
3704,3,1,1,1963,1,3,821440.854620492
1274,2,3,2,1966,0,8,328787.781029106
1882,1,3,2,1973,1,6,460913.996952296
3358,4,3,2,2007,1,1,720395.331231973
2847,5,2,1,2012,0,4,687360.922488208
3547,3,2,1,1983,1,5,735807.637323569
1775,1,3,2,2000,1,3,421740.025535037
2606,5,2,1,1959,1,1,551460.430820077
989,5,1,1,2021,1,3,257041.715457538
3534,2,2,2,1970,0,9,802825.573261199
3805,2,1,2,1986,0,2,812784.1063619
2699,1,1,2,1956,1,1,559144.48961282
2067,5,2,1,1962,0,7,481429.073929458
2328,2,2,1,1979,1,7,534115.552770886
4002,3,3,2,1980,0,5,873253.524769018
4356,3,2,1,1954,1,2,963489.484567068
4690,5,2,1,1981,1,1,1004594.14988479
1446,2,2,1,1965,0,5,293905.37341282
3688,1,1,2,2022,1,10,801524.215676219
3235,1,1,2,1971,1,4,677564.22906229
1400,1,1,2,2013,1,9,304484.157381289
3163,3,3,2,1993,1,5,715041.72288282
2861,2,3,2,1989,0,10,631872.15614768
1041,2,3,1,1986,0,2,256862.805161745
2841,3,1,1,1965,0,4,592838.894995321
3624,1,2,1,1992,0,9,783967.763258138
3412,1,3,1,2012,1,8,713472.545081126
2163,5,3,1,1964,1,3,500906.715257585
2278,4,1,1,1993,1,8,533527.144222818
3356,2,3,2,1958,1,2,770745.460373993
1575,2,2,2,2014,0,3,373620.634213712
4814,2,1,1,1993,0,5,1029729.8126067
834,4,1,2,1969,0,10,277226.925833579
3952,5,2,1,2019,1,10,985470.803395272
2755,4,2,1,2023,1,8,641039.726688961
2385,1,2,2,1982,1,1,550510.023078246
4743,1,3,2,1955,1,4,1025915.88136005
3873,2,2,1,1980,0,1,832500.812582688
1821,3,1,2,2015,0,1,446555.990451005
4261,2,2,1,1967,0,5,886717.174225388
3413,3,1,1,1977,1,6,738132.874401591
4643,4,1,1,2017,0,1,984594.137837047
2300,1,3,1,2014,1,6,513432.505701953
961,3,2,1,1994,0,5,255162.521324954
2781,4,3,2,2007,0,4,662268.719626325
1795,1,2,1,1996,1,10,412046.331932343
4142,3,2,2,2015,1,5,890783.025935157
4598,2,2,1,2001,1,8,992957.775088164
2075,2,2,2,1985,0,9,466292.039349371
1816,2,2,1,1950,0,2,351349.854299663
1137,4,1,2,1988,0,6,275896.808932527
1678,2,1,1,1950,0,3,386784.331055938
1876,5,2,1,2023,1,2,492138.668773316
