Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99,1,9,1,91
4,82,0,4,2,64
8,51,1,7,2,45
5,52,1,5,2,37
7,75,0,8,5,67
3,78,0,9,6,59
7,73,1,5,6,65
8,45,1,4,6,36
5,77,0,8,2,62
4,89,0,4,0,70
8,91,0,4,5,84
8,79,0,6,2,69
3,47,0,9,2,27
6,47,0,4,2,33
5,79,0,7,8,65
2,72,0,4,3,46
8,73,1,8,4,65
6,83,1,7,2,72
2,54,1,4,9,31
5,75,0,7,0,60
1,99,1,4,3,71
6,96,0,9,0,86
9,74,1,7,6,75
1,85,0,5,6,59
3,61,0,6,3,40
7,62,1,7,4,56
4,79,0,8,9,63
9,84,1,6,6,81
3,94,1,6,5,74
5,90,1,4,3,74
3,61,1,7,3,41
7,44,1,9,1,35
5,70,1,6,9,56
9,52,1,8,1,49
7,67,1,9,3,59
2,97,1,9,4,74
4,59,0,8,3,40
9,72,0,8,2,67
2,55,1,4,1,30
9,68,0,5,3,62
5,62,0,7,4,45
2,63,1,6,0,39
4,73,1,7,0,55
7,46,0,9,5,38
8,77,1,6,4,71
3,76,1,4,3,55
1,43,1,7,0,16
4,73,0,4,6,54
2,81,1,4,3,54
8,61,0,7,2,54
4,44,1,7,6,30
2,89,1,6,1,66
6,81,0,9,9,71
6,62,1,9,0,50
4,93,0,8,3,76
6,99,0,4,7,84
2,54,1,9,5,32
2,70,1,5,8,47
4,98,0,6,0,77
8,48,0,6,0,40
7,82,1,8,4,74
9,97,1,8,5,96
8,92,1,4,7,89
5,64,1,6,2,50
2,64,1,6,5,41
5,88,0,5,2,72
8,60,0,4,7,53
9,48,0,4,3,44
9,94,0,9,1,91
1,87,1,8,8,63
9,77,0,9,9,75
7,61,1,4,7,52
9,82,1,5,5,79
8,62,1,4,2,55
1,88,1,9,1,63
8,43,1,7,3,37
8,68,0,7,3,63
3,54,1,5,0,31
1,40,1,8,8,15
8,93,1,6,9,88
3,69,0,4,7,49
3,68,1,9,6,49
1,59,1,8,5,36
5,72,1,9,2,58
7,80,0,8,3,71
9,83,1,4,1,76
7,75,0,6,6,66
9,99,0,4,1,97
8,61,1,6,9,58
2,52,0,9,0,30
1,46,0,5,5,19
7,47,1,6,3,36
7,67,1,8,7,60
8,84,1,5,0,78
5,82,1,9,8,72
3,48,0,7,5,27
8,64,0,5,1,54
6,95,1,6,7,84
3,55,1,5,4,32
1,49,1,9,4,23
3,50,0,5,4,31
5,70,1,9,6,57
3,51,0,7,6,34
